pageNumber,lineNumber,position,surahId,ayahNo,isVerseEnd,text
6,2,8,2,30,false,ٱلدِّمَآءَ
6,2,9,2,30,false,وَنَحۡنُ
6,3,1,2,30,false,نُسَبِّحُ
6,3,2,2,30,false,بِحَمۡدِكَ
6,3,3,2,30,false,وَنُقَدِّسُ
6,3,4,2,30,false,لَكَۖ
6,3,5,2,30,false,قَالَ
6,3,6,2,30,false,إِنِّيٓ
6,3,7,2,30,false,أَعۡلَمُ
6,3,8,2,30,false,مَا
6,3,9,2,30,false,لَا
6,3,10,2,30,false,تَعۡلَمُونَ
6,4,1,2,30,true,٣٠
6,4,2,2,31,false,وَعَلَّمَ
6,4,3,2,31,false,ءَادَمَ
6,4,4,2,31,false,ٱلۡأَسۡمَآءَ
6,4,5,2,31,false,كُلَّهَا
6,4,6,2,31,false,ثُمَّ
6,4,7,2,31,false,عَرَضَهُمۡ
6,4,8,2,31,false,عَلَى
6,4,9,2,31,false,ٱلۡمَلَٰٓئِكَةِ
6,5,1,2,31,false,فَقَالَ
6,5,2,2,31,false,أَنۢبِـُٔونِي
6,5,3,2,31,false,بِأَسۡمَآءِ
6,5,4,2,31,false,هَٰٓؤُلَآءِ
6,5,5,2,31,false,إِن
6,5,6,2,31,false,كُنتُمۡ
6,5,7,2,31,false,صَٰدِقِينَ
6,5,8,2,31,true,٣١
6,5,9,2,32,false,قَالُواْ
6,6,1,2,32,false,سُبۡحَٰنَكَ
6,6,2,2,32,false,لَا
6,6,3,2,32,false,عِلۡمَ
6,6,4,2,32,false,لَنَآ
6,6,5,2,32,false,إِلَّا
6,6,6,2,32,false,مَا
6,6,7,2,32,false,عَلَّمۡتَنَآۖ
6,6,8,2,32,false,إِنَّكَ
6,6,9,2,32,false,أَنتَ
6,6,10,2,32,false,ٱلۡعَلِيمُ
6,6,11,2,32,false,ٱلۡحَكِيمُ
6,7,1,2,32,true,٣٢
6,7,2,2,33,false,قَالَ
6,7,3,2,33,false,يَٰٓـَٔادَمُ
6,7,4,2,33,false,أَنۢبِئۡهُم
6,7,5,2,33,false,بِأَسۡمَآئِهِمۡۖ
6,7,6,2,33,false,فَلَمَّآ
6,7,7,2,33,false,أَنۢبَأَهُم
6,7,8,2,33,false,بِأَسۡمَآئِهِمۡ
6,7,9,2,33,false,قَالَ
6,8,1,2,33,false,أَلَمۡ
6,8,2,2,33,false,أَقُل
6,8,3,2,33,false,لَّكُمۡ
6,8,4,2,33,false,إِنِّيٓ
6,8,5,2,33,false,أَعۡلَمُ
6,8,6,2,33,false,غَيۡبَ
6,8,7,2,33,false,ٱلسَّمَٰوَٰتِ
6,8,8,2,33,false,وَٱلۡأَرۡضِ
6,8,9,2,33,false,وَأَعۡلَمُ
6,8,10,2,33,false,مَا
6,9,1,2,33,false,تُبۡدُونَ
6,9,2,2,33,false,وَمَا
6,9,3,2,33,false,كُنتُمۡ
6,9,4,2,33,false,تَكۡتُمُونَ
6,9,5,2,33,true,٣٣
6,9,6,2,34,false,وَإِذۡ
6,9,7,2,34,false,قُلۡنَا
6,9,8,2,34,false,لِلۡمَلَٰٓئِكَةِ
6,9,9,2,34,false,ٱسۡجُدُواْ
6,10,1,2,34,false,لِأٓدَمَ
6,10,2,2,34,false,فَسَجَدُوٓاْ
6,10,3,2,34,false,إِلَّآ
6,10,4,2,34,false,إِبۡلِيسَ
6,10,5,2,34,false,أَبَىٰ
6,10,6,2,34,false,وَٱسۡتَكۡبَرَ
6,10,7,2,34,false,وَكَانَ
6,10,8,2,34,false,مِنَ
6,10,9,2,34,false,ٱلۡكَٰفِرِينَ
6,11,1,2,34,true,٣٤
6,11,2,2,35,false,وَقُلۡنَا
6,11,3,2,35,false,يَٰٓـَٔادَمُ
6,11,4,2,35,false,ٱسۡكُنۡ
6,11,5,2,35,false,أَنتَ
6,11,6,2,35,false,وَزَوۡجُكَ
6,11,7,2,35,false,ٱلۡجَنَّةَ
6,11,8,2,35,false,وَكُلَا
6,11,9,2,35,false,مِنۡهَا
6,11,10,2,35,false,رَغَدًا
6,12,1,2,35,false,حَيۡثُ
6,12,2,2,35,false,شِئۡتُمَا
6,12,3,2,35,false,وَلَا
6,12,4,2,35,false,تَقۡرَبَا
6,12,5,2,35,false,هَٰذِهِ
6,12,6,2,35,false,ٱلشَّجَرَةَ
6,12,7,2,35,false,فَتَكُونَا
6,12,8,2,35,false,مِنَ
6,12,9,2,35,false,ٱلظَّٰلِمِينَ
6,12,10,2,35,true,٣٥
6,13,1,2,36,false,فَأَزَلَّهُمَا
6,13,2,2,36,false,ٱلشَّيۡطَٰنُ
6,13,3,2,36,false,عَنۡهَا
6,13,4,2,36,false,فَأَخۡرَجَهُمَا
6,13,5,2,36,false,مِمَّا
6,13,6,2,36,false,كَانَا
6,13,7,2,36,false,فِيهِۖ
6,13,8,2,36,false,وَقُلۡنَا
6,13,9,2,36,false,ٱهۡبِطُواْ
6,14,1,2,36,false,بَعۡضُكُمۡ
6,14,2,2,36,false,لِبَعۡضٍ
6,14,3,2,36,false,عَدُوّٞۖ
6,14,4,2,36,false,وَلَكُمۡ
6,14,5,2,36,false,فِي
6,14,6,2,36,false,ٱلۡأَرۡضِ
